,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude,année
2,2022-359041,2022-01-18,1,1,181300.0,4.0,0,1,Maison,83.0,4.0,1,sols,97.0,1.06889,49.391763,2022
8,2021-1183216,2021-09-13,1,1,176000.0,8.0,0,1,Maison,95.0,5.0,1,sols,795.0,1.060618,49.394682,2021
9,2021-1183377,2021-09-13,1,1,410000.0,10.0,0,1,Maison,108.0,4.0,1,sols,2073.0,1.063144,49.390904,2021
13,2021-1181949,2021-07-30,1,1,384000.0,1.0,0,1,Maison,114.0,3.0,1,sols,506.0,1.065836,49.392018,2021
14,2021-1181790,2021-07-23,1,1,400000.0,26.0,0,1,Maison,250.0,6.0,2,terrains d'agrément,1352.0,1.067123,49.389567,2021
15,2021-1181790,2021-07-23,1,1,400000.0,26.0,0,1,Maison,250.0,6.0,1,sols,566.0,1.067123,49.389567,2021
18,2021-1180391,2021-05-31,1,1,3480000.0,63.0,0,4,Local industriel. commercial ou assimilé,586.0,0.0,1,sols,1986.0,1.059434,49.393091,2021
21,2021-1180860,2021-05-28,1,1,375000.0,9.0,0,1,Maison,129.0,4.0,1,sols,1765.0,1.062906,49.39063,2021
24,2021-1179950,2021-05-04,1,1,275000.0,8.0,0,1,Maison,143.0,6.0,1,sols,187.0,1.065427,49.390566,2021
25,2021-1179950,2021-05-04,1,1,275000.0,8.0,0,1,Maison,143.0,6.0,2,terrains d'agrément,1115.0,1.065427,49.390566,2021
26,2021-1179742,2021-03-30,1,1,258000.0,4.0,0,1,Maison,110.0,5.0,1,sols,496.0,1.06482,49.392608,2021
32,2021-1178699,2021-02-17,1,1,518100.0,11.0,0,1,Maison,225.0,7.0,1,sols,2580.0,1.06338,49.391146,2021
35,2021-1178460,2021-02-16,1,1,210100.0,1.0,0,1,Maison,76.0,4.0,1,sols,583.0,1.061246,49.393128,2021
38,2021-1177934,2021-01-12,1,1,137000.0,2.0,0,1,Maison,63.0,4.0,1,sols,581.0,1.06104,49.392848,2021
45,2020-1064948,2020-09-30,1,1,2000000.0,138.0,0,4,Local industriel. commercial ou assimilé,1406.0,0.0,1,sols,3215.0,1.061634,49.395917,2020
46,2020-1064529,2020-09-22,1,1,165000.0,8.0,0,1,Maison,75.0,4.0,1,sols,351.0,1.060908,49.393355,2020
49,2020-1064116,2020-09-03,1,1,123000.0,6.0,0,1,Maison,63.0,4.0,1,sols,395.0,1.060981,49.394587,2020
50,2020-1063867,2020-08-27,1,1,181500.0,4.0,0,1,Maison,80.0,5.0,1,sols,485.0,1.063731,49.394418,2020
52,2020-1063703,2020-08-20,1,1,364000.0,17.0,0,1,Maison,132.0,3.0,2,terrains d'agrément,1088.0,1.067116,49.390385,2020
53,2020-1063703,2020-08-20,1,1,364000.0,17.0,0,1,Maison,132.0,3.0,1,sols,166.0,1.067116,49.390385,2020
54,2020-1063943,2020-08-20,1,1,165000.0,3.0,0,1,Maison,78.0,4.0,1,sols,453.0,1.060241,49.393026,2020
